id;date;datetime_source;id;name;popularity;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
596;13/4/2018 0:00;;32328904;Birdsworth with Peagypt and Amy Fitz Doyley at The Water Rats (April 13, 2018);1.20E-05;Concert;Friday;51.528958;-0.119524;3;125;0.673;0.596;[1];-9.416;[0];0.0426;0.215;1.99E-06;0.25;0.673;197120.7778;[4]
602;13/4/2018 0:00;;32419919;Keni Burke at 229 (April 13, 2018);0.00368;Concert;Friday;51.523464;-0.144249;37;4191;0.7085;0.584;[0];-8.618;[0];0.0863;0.256;7.50E-05;0.1445;0.8;245367.4;[4]
614;13/4/2018 0:00;;32580014;Ayanna Witter-Johnson at Cutty Sark (April 13, 2018);0.000259;Concert;Friday;51.4814581;-0.0083094;14;701;0.739;0.27;[7];-7.449;[1];0.0605;0.757;2.48E-05;0.11;0.455;221339.5556;[4]
618;13/4/2018 0:00;2018-04-13T19:00:00+0100;32673889;Speak, Brother with John Nicholas and Jules Rendell at Thousand Island (formerly Upstairs at The Garage) (April 13, 2018);8.40E-05;Concert;Friday;51.5466983;-0.1038429;16;1167;0.4265;0.4545;[1];-9.3335;[1];0.0393;0.1075;0.000237;0.135;0.2465;223865.25;[4]
628;13/4/2018 0:00;;32881449;Joel Culpepper and Hare Squead at Birthdays (April 13, 2018);0.00313;Concert;Friday;51.5517702;-0.0751825;46;21871;0.695;0.595;[11];-6.81;[0];0.0777;0.268;2.23E-05;0.103;0.627;237825;[4]
629;13/4/2018 0:00;2018-04-13T23:00:00+0100;32881704;Redlight, Toddla T, Coco, Steel Banglez, and 14 more… at fabric (April 13, 2018);0.01844;Concert;Friday;51.5195531;-0.1024779;31.5;94467;0.6645;0.7995;[1];-5.9445;[1];0.0648;0.00918;0.1315;0.1205;0.3705;258965.5672;[4]
631;13/4/2018 0:00;2018-04-13T19:30:00+0100;32885564;serpentwithfeet at Village Underground (April 13, 2018);0.001118;Concert;Friday;51.5237877;-0.0780335;42;14112;0.337;0.324;[0];-10.364;[1];0.0355;0.885;8.55E-05;0.108;0.132;250675.1429;[4]
639;13/4/2018 0:00;2018-04-13T23:00:00+0100;32988359;Lee Foss at Egg London (April 13, 2018);0.005091;Concert;Friday;51.5418112;-0.1252273;44;30280;0.81;0.6005;[0];-7.124;[0];0.05515;0.00202;0.08485;0.0844;0.674;330980.4;[4]
678;14/4/2018 0:00;2018-04-14T19:30:00+0100;31443789;Geno Washington & the Ram Jam Band at Suburbs (April 14, 2018);0.000303;Concert;Saturday;51.2501654;-0.5912318;14;487;0.488;0.783;[10];-6.027;[0];0.05625;0.206;0;0.2805;0.7825;153666.7;[4]
681;14/4/2018 0:00;2018-04-14T19:00:00+0100;31722494;The Neville Staple Band with Stranger Cole, The Paradimes, and Buster Shuffle at O2 Academy Islington (April 14, 2018);0.001253;Concert;Saturday;51.5345836;-0.1059202;26;5342;0.515;0.683;[0];-6.762;[1];0.0412;0.146;0.000141;0.136;0.883;184758.76;[4]
710;14/4/2018 0:00;2018-04-14T23:00:00+0100;32841314;Apollonia (Dyed Soundorom, Dan Ghenacia & Shonky), Dan Ghenacia, Dyed Soundorom, Shonky, and 1 more… at fabric (April 14, 2018);0.001195;Concert;Saturday;51.5195531;-0.1024779;13.5;6396;0.805;0.794;[11];-9.2805;[0];0.0541;0.0005365;0.857;0.0858;0.584;442275.85;[4]
714;14/4/2018 0:00;2018-04-14T22:00:00+0100;32869109;Frankie Feliciano, David Harness, D Malice, Kitty Amor, and 3 more… at The Prince of Wales (April 14, 2018);0.000202;Concert;Saturday;51.4615105;-0.1149433;19;1389;0.799;0.68;[4];-8.615;[0];0.0514;0.0125;0.541;0.092;0.757;493253.2245;[4]
751;14/4/2018 0:00;2018-04-14T19:00:00+0100;33466919;O'Flynn, Dan Shake, Krywald & Farrer, and Raw Silk at Hangar London Fields (April 14, 2018);0.000451;Concert;Saturday;51.5388795;-0.0578761;25;8972;0.752;0.768;[0];-9.651;[1];0.0546;0.0424;0.603;0.109;0.524;355446.3333;[4]
755;14/4/2018 0:00;2018-04-14T19:30:00+0100;33519434;Crowd Company at 229 (April 14, 2018);2.50E-05;Concert;Saturday;51.523464;-0.144249;6;160;0.554;0.8145;[2];-6.2225;[1];0.05035;0.01775;0.02905;0.1505;0.739;222440;[4]
786;15/4/2018 0:00;;33056954;Juliet Kelly with Celebrating the Divas of Jazz at Pizza Express Jazz Club - Soho (April 15, 2018);3.40E-05;Concert;Sunday;51.5151564;-0.1333585;4;93;0.7335;0.4555;[8];-10.076;[0];0.04085;0.6855;6.39E-06;0.177;0.535;218324;[4]
792;15/4/2018 0:00;2018-04-15T18:30:00+0100;33232894;Boadi at Stockwell Playhouse (April 15, 2018);1.20E-05;Concert;Sunday;51.4755202;-0.1316206;28;1072;0.5915;0.3965;[0];-10.762;[0];0.07845;0.517;0.003855;0.118;0.379;173879.9;[4]
803;15/4/2018 0:00;2018-04-15T19:00:00+0100;33432469;August Twelfth at Birthdays (April 15, 2018);3.50E-05;Concert;Sunday;51.5517702;-0.0751825;23;301;0.5755;0.6905;[1];-6.962;[0];0.148;0.2125;0;0.14;0.6875;201444.5;[4]
828;16/4/2018 0:00;2018-04-16T19:30:00+0100;33155004;Samuel Jack at Unknown venue (April 16, 2018);7.00E-05;Concert;Monday;51.5073509;-0.1277583;27;1287;0.5705;0.5555;[0];-6.694;[0];0.03835;0.3875;2.20E-05;0.167;0.275;210785.5;[4]
856;17/4/2018 0:00;2018-04-17T19:30:00+0100;32797069;Albin Lee Meldau with ViVii at Omeara (April 17, 2018);0.001791;Concert;Tuesday;51.5041429;-0.094603;43.5;20786;0.546;0.501;[9];-9.305;[1];0.0449;0.57;0.000186;0.155;0.332;193978.7273;[4]
