osm_id,name,ref,type,oneway,bridge,maxspeed,WKT,x1,y1,x2,y2
32261112,,,service,0,0,,,529668.78,182318.44,529620.32,182209.43
32261113,,,service,0,0,,,529675.37,182068.35,529670.31,182072.72
32592744,Gage Street,,residential,0,0,,,530433.75,181871.31,530452.25,181871.31
32629148,Great Castle Street,,unclassified,1,0,,,529089.40,181342.20,529140.40,181345.96
32629353,Market Place,,unclassified,1,0,,,529178.81,181356.16,529151.05,181309.51
32629822,Margaret Court,,footway,0,0,,,529106.33,181342.20,529123.84,181342.20
32679174,Percy Passage,,footway,0,0,,,529520.12,181584.56,529489.41,181571.83
32728727,Exeter Street,,unclassified,1,0,,,530614.03,180892.88,530482.95,180757.13
32728729,Catherine Street,,unclassified,0,0,30,,530628.07,180925.18,530563.27,180955.03
32919254,,,footway,0,0,,,529856.16,180722.26,529866.24,180707.95
32919255,,,footway,0,0,,,529861.71,180759.42,529883.91,180777.39
32919256,,,footway,0,0,,,529849.36,180735.46,529804.32,180739.75
32919257,,,footway,0,0,,,529866.24,180682.06,529900.26,180681.00
32919258,,,footway,0,0,,,529855.22,180671.81,529837.45,180666.04
32984560,,,footway,0,0,,,530295.71,181080.38,530231.40,181116.77
32984563,Odhams Walk,,steps,0,0,,,530231.40,181123.26,530224.29,181123.26
32984566,Odhams Walk,,footway,0,0,,,530224.29,181125.41,530221.46,181125.41
33096423,Oxford Street,A40,primary,0,0,30,,529823.32,181383.11,529650.32,181360.06
33096424,Oxford Street,A40,primary,0,0,30,,529650.32,181358.68,529565.35,181343.43
33096425,Great Chapel Street,,construction,0,0,,,529544.74,181264.07,529563.42,181228.77
33437334,Evelyn Yard,,footway,0,0,,,529624.13,181409.53,529626.84,181409.53
33437335,Evelyn Yard,,track,0,0,,,529659.40,181423.57,529667.77,181465.10
33437336,,,service,0,0,,,529667.77,181453.38,529717.02,181494.18
33437477,Percy Mews,,service,0,0,,,529557.38,181522.46,529560.79,181522.46
33608060,Great Portland Street,B506,secondary,0,0,30,,529099.27,181273.86,529109.92,181261.73
33608061,Great Titchfield Street,,pedestrian,0,0,,,529190.23,181278.62,529205.29,181278.62
33608388,Winsley Street,,unclassified,1,0,,,529235.41,181288.14,529273.09,181288.14
33720169,Perry's Place,,service,0,0,,,529592.96,181360.69,529578.09,181388.26
33722369,Dean Street,,pedestrian,0,0,,,529565.35,181312.57,529606.09,181243.21
33969293,,,footway,0,0,,,530099.68,181978.78,530027.22,181987.26
34185850,Denmark Place,,footway,0,0,,,529845.21,181267.39,529918.11,181313.49
34437379,,A4,primary_link,1,0,30,,530852.31,181034.75,530897.66,180992.57
34437380,Strand,A4,primary,1,0,30,,530897.66,180987.40,530640.11,180855.75
34588094,,,pedestrian,0,0,,,529893.01,181114.30,529917.65,181114.30
34768883,Rugby Street,,unclassified,1,0,,,530725.02,182030.63,530719.58,182030.63
35065682,Bolsover Street,,unclassified,1,0,,,528976.69,181786.38,529000.09,181786.38
35085535,Haymarket,A4,primary,1,0,30,,529668.19,180629.50,529753.64,180494.76
35085536,Regent Street,A4,primary,1,0,30,,529572.43,180584.59,529536.95,180632.78
35085537,Piccadilly Circus,A4,primary,1,0,30,,529536.95,180637.16,529530.45,180642.63
35085538,High Holborn,A40,primary,1,0,20,,530129.52,181319.55,530084.13,181309.95
35583681,Curzon Street,,tertiary,1,0,30,,528842.67,180431.50,528709.60,180291.29
35583682,Hertford Street,,unclassified,1,0,,,528649.34,180214.16,528639.24,180272.82
35787177,Lincoln's Inn Fields,,unclassified,1,0,20,,530640.71,181460.52,530858.20,181500.08
35787178,Lincoln's Inn Fields,,unclassified,0,0,,,530858.31,181314.23,530716.38,181264.97
37063454,,,footway,0,0,,,530438.96,182239.44,530444.88,182239.44
37332347,,,service,1,0,,,527824.25,182036.38,527832.58,182002.78
37458962,,,steps,0,0,,,530280.11,181315.72,530265.88,181315.72
37458963,,,steps,0,0,,,530295.85,181298.30,530280.90,181298.30
37458964,,,footway,0,0,,,530265.88,181298.30,530280.90,181298.30
37458965,,,service,0,0,,,530253.43,181282.58,530232.01,181282.58
37458966,Dudley Court,,track,0,0,,,530243.91,181270.21,530226.78,181270.21
37458967,Nottingham Court,,pedestrian,0,0,,,530221.46,181143.94,530189.91,181164.66
37458969,Nottingham Court,,unclassified,0,0,,,530189.91,181187.59,530172.66,181187.59
37458970,Cucumber Alley,,footway,0,0,,,530138.74,181142.54,530175.87,181116.46
37458971,Thomas Neal's shopping centre,,footway,0,0,,,530151.59,181124.18,530129.85,181124.18
37458972,Tower Court,,footway,0,0,,,530027.43,181058.41,530059.92,181062.30
37458973,,,footway,0,0,,,530360.76,181480.87,530382.57,181448.90
37725931,,,footway,0,0,,,530395.44,182258.37,530407.22,182246.26
37725943,,,footway,0,0,,,530359.34,182271.67,530187.97,182269.57
37725952,,,footway,0,0,,,530387.71,182334.72,530381.76,182345.75
38060395,St Giles High Street,,unclassified,1,0,30,,529963.02,181295.45,529942.85,181296.32
38060397,St Giles High Street,,service,1,0,30,,529942.85,181313.49,529895.49,181356.31
38069220,,,steps,0,0,,,530378.12,180505.19,530378.32,180505.19
38069235,,,footway,0,0,,,530791.40,180073.09,530797.73,180073.09
38119801,,,footway,0,0,,,528798.50,180542.22,528798.50,180537.23
38309333,Quebec Mews,,residential,0,0,,,527890.74,181197.81,527858.39,181197.81
38309334,Quebec Mews,,residential,0,0,,,527850.81,181197.81,527865.97,181172.41
38310089,Hanover Street,,unclassified,1,0,,,528945.09,181049.50,528925.59,181028.94
38310107,,,footway,0,0,,,528898.97,181040.24,528911.10,181107.58
38310109,,,footway,0,0,,,528932.24,181069.01,528869.00,181097.61
38310130,,,footway,0,0,,,528909.80,181107.37,528876.78,181092.24
38310154,Swallow Street,,unclassified,0,0,30,,529338.92,180590.27,529378.06,180546.39
38310416,Lancashire Court,,footway,0,0,,,528828.57,180921.16,528783.51,180909.61
38310418,Avery Row,,footway,0,0,,,528696.59,180958.83,528818.30,180879.34
